,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,severo-kurilsk,92.0,RU,1536380751.0,97.0,50.68,156.12,284.47,4.21
1,vaini,68.0,IN,1536380743.0,100.0,15.34,74.49,294.57,2.21
2,cervo,0.0,BR,1536380990.0,78.0,-22.19,-46.24,283.37,1.06
3,busselton,92.0,AU,1536380724.0,95.0,-33.64,115.35,290.07,9.31
4,aripuana,20.0,BR,1536380762.0,80.0,-9.17,-60.63,300.47,0.96
5,nikolskoye,90.0,RU,1536377400.0,100.0,59.7,30.79,287.15,1.0
6,torbay,5.0,CA,1536379200.0,81.0,47.66,-52.73,285.15,4.6
7,paka,20.0,HR,1536379200.0,93.0,45.29,18.06,290.15,3.1
8,carnarvon,92.0,ZA,1536380778.0,98.0,-30.97,22.13,273.77,5.16
9,khatanga,68.0,RU,1536380808.0,76.0,71.98,102.47,277.92,4.31
11,aykhal,36.0,RU,1536380834.0,74.0,65.95,111.51,274.37,1.86
12,huitziltepec,24.0,MX,1536381128.0,92.0,17.76,-99.48,290.967,0.91
14,dunedin,0.0,NZ,1536380518.0,73.0,-45.87,170.5,282.72,3.16
15,bam,0.0,IR,1536380856.0,24.0,29.11,58.36,289.97,1.71
16,elda,20.0,ES,1536379200.0,64.0,38.48,-0.8,296.15,3.1
17,mar del plata,0.0,AR,1536380748.0,62.0,-46.43,-67.52,280.42,5.46
18,bethel,1.0,US,1536378780.0,51.0,60.79,-161.76,288.15,5.7
19,ushuaia,20.0,AR,1536375600.0,74.0,-54.81,-68.31,276.15,3.1
20,pochutla,0.0,MX,1536380866.0,100.0,15.74,-96.47,302.12,1.51
21,barrow,0.0,AR,1536380775.0,81.0,-38.31,-60.23,278.47,2.56
22,hobart,40.0,AU,1536379200.0,38.0,-42.88,147.33,288.15,3.6
24,saint george,20.0,GR,1536378600.0,64.0,39.45,22.34,294.15,3.1
25,rikitea,92.0,PF,1536380750.0,100.0,-23.12,-134.97,295.12,13.01
27,albany,75.0,US,1536380040.0,96.0,42.65,-73.75,291.45,2.11
28,bhimunipatnam,0.0,IN,1536381132.0,57.0,17.88,83.43,306.467,2.11
29,labuhan,32.0,ID,1536380927.0,65.0,-2.54,115.51,303.12,2.26
30,mataura,0.0,NZ,1536380739.0,74.0,-46.19,168.86,286.62,2.11
31,tuktoyaktuk,90.0,CA,1536379200.0,86.0,69.44,-133.03,274.15,3.6
32,muros,0.0,ES,1536379200.0,93.0,42.77,-9.06,288.15,3.1
33,punta arenas,20.0,CL,1536375600.0,100.0,-53.16,-70.91,275.15,1.5
34,bluff,0.0,AU,1536380781.0,41.0,-23.58,149.07,302.32,3.81
35,manavalakurichi,40.0,IN,1536379200.0,66.0,8.13,77.3,303.15,5.1
36,te anau,0.0,NZ,1536380804.0,57.0,-45.41,167.72,284.77,1.41
37,yellowknife,90.0,CA,1536379200.0,66.0,62.45,-114.38,285.15,3.6
38,cockburn town,92.0,TC,1536381134.0,100.0,21.46,-71.14,301.017,5.66
39,kamenka,0.0,RU,1536380783.0,76.0,53.19,44.05,280.92,1.41
40,port alfred,0.0,ZA,1536380769.0,100.0,-33.59,26.89,284.52,7.56
41,luderitz,0.0,NA,1536380756.0,82.0,-26.65,15.16,283.12,7.56
42,bilibino,0.0,RU,1536381135.0,47.0,68.06,166.44,289.817,1.96
43,tarakan,32.0,ID,1536381135.0,76.0,3.3,117.63,304.367,0.51
44,new norfolk,40.0,AU,1536379200.0,38.0,-42.78,147.06,288.15,3.6
45,leshukonskoye,88.0,RU,1536381136.0,85.0,64.9,45.76,282.717,2.36
46,castro,80.0,CL,1536380776.0,97.0,-42.48,-73.76,279.57,1.31
47,bredasdorp,88.0,ZA,1536379200.0,81.0,-34.53,20.04,283.15,6.2
48,nur,0.0,PL,1536381136.0,84.0,52.67,22.32,290.117,1.56
50,spokane,1.0,US,1536379080.0,43.0,47.66,-117.42,295.35,1.5
51,tasiilaq,92.0,GL,1536378600.0,75.0,65.61,-37.64,281.15,20.1
52,hobyo,8.0,SO,1536380812.0,91.0,5.35,48.53,296.42,7.26
53,kodiak,90.0,US,1536378780.0,96.0,39.95,-94.76,291.45,4.1
54,nabire,44.0,ID,1536380903.0,80.0,-3.36,135.5,299.57,1.16
55,victoria,75.0,BN,1536379200.0,79.0,5.28,115.24,304.15,1.5
57,dwarka,75.0,IN,1536377400.0,83.0,28.58,77.04,302.15,3.1
59,jieshi,88.0,CN,1536381139.0,98.0,22.82,115.83,300.867,2.71
62,presidente venceslau,0.0,BR,1536379200.0,59.0,-21.88,-51.85,289.15,1.0
63,huarmey,0.0,PE,1536381140.0,83.0,-10.07,-78.15,283.867,1.46
64,sao jose da coroa grande,92.0,BR,1536380842.0,81.0,-8.9,-35.15,296.57,4.91
65,lavrentiya,0.0,RU,1536380756.0,92.0,65.58,-170.99,282.52,4.26
67,puerto ayora,32.0,EC,1536380754.0,100.0,-0.74,-90.35,294.92,5.56
68,hermanus,92.0,ZA,1536380774.0,89.0,-34.42,19.24,282.32,2.76
69,esperance,20.0,TT,1536379200.0,100.0,10.24,-61.45,297.15,2.36
70,upernavik,0.0,GL,1536380753.0,100.0,72.79,-56.15,276.32,6.51
71,santa rosalia,20.0,IT,1536378900.0,78.0,38.07,13.27,298.15,4.1
72,butaritari,48.0,KI,1536380689.0,100.0,3.07,172.79,303.12,2.61
73,ereymentau,48.0,KZ,1536381142.0,87.0,51.62,73.1,285.967,4.56
74,bambous virieux,75.0,MU,1536379200.0,69.0,-20.34,57.76,296.15,6.2
75,front royal,40.0,US,1536378960.0,100.0,38.92,-78.19,295.95,2.1
77,shingu,75.0,JP,1536375600.0,83.0,33.72,135.99,299.15,3.6
79,kapaa,75.0,US,1536378960.0,84.0,22.08,-159.32,302.05,6.7
